@relation synthetic2
@attribute x real
@attribute y real
@attribute class {1,0}
@data
0.5962,0.3245,1
0.3124,0.696,1
0.7627,0.2424,1
0.6723,0.4857,1
0.8344,0.6722,1
0.5378,0.2241,1
0.6714,0.9197,1
0.7267,0.281,1
0.0603,0.994,1
0.0749,0.7104,1
0.8471,0.731,1
0.4271,0.5516,1
0.2636,0.8846,1
0.3547,0.7091,1
0.7823,0.1467,1
0.0676,0.7205,1
0.8632,0.7358,1
0.0781,0.6101,1
0.3157,0.9769,1
0.649,0.8777,1
0.2348,0.671,1
0.9454,0.0623,1
0.5181,0.0194,1
0.9344,0.6578,1
0.5817,0.2463,1
0.5769,0.0043,1
0.6179,0.9559,1
0.61,0.3098,1
0.8896,0.2028,1
0.1226,0.712,1
0.6253,0.2513,1
0.8587,0.0369,1
0.5541,0.0971,1
0.4437,0.896,1
0.555,0.7342,1
0.7448,0.4346,1
0.001,0.7972,1
0.4936,0.542,1
0.4815,0.7342,1
0.4596,0.7034,1
0.8957,0.3436,1
0.6642,0.3914,1
0.5122,0.1011,1
0.2002,0.792,1
0.6865,0.8857,1
0.4768,0.8312,1
0.8825,0.2306,1
0.6257,0.2464,1
0.8593,0.2034,1
0.6824,0.2108,1
0.2825,0.5058,1
0.359,0.6616,1
0.6237,0.9376,1
0.8374,0.2356,1
0.5651,0.7946,1
0.3664,0.9188,1
0.2717,0.6196,1
0.6492,0.8186,1
0.9128,0.2426,1
0.3662,0.7299,1
0.4413,0.5067,1
0.0686,0.8626,1
0.798,0.3887,1
0.3418,0.6345,1
0.6912,0.2601,1
0.8156,0.9182,1
0.1551,0.6448,1
0.619,0.2734,1
0.2101,0.8463,1
0.3719,0.8063,1
0.7045,0.8569,1
0.6296,0.5127,1
0.5553,0.4372,1
0.9291,0.3195,1
0.8868,0.7171,1
0.9652,0.3621,1
0.9556,0.771,1
0.7254,0.131,1
0.9273,0.8251,1
0.4632,0.9124,1
0.207,0.7556,1
0.463,0.7708,1
0.7756,0.569,1
0.7544,0.985,1
0.5107,0.8999,1
0.3828,0.811,1
0.7449,0.0771,1
0.2352,0.9152,1
0.5548,0.5217,1
0.8925,0.4169,1
0.3273,0.7802,1
0.6551,0.4632,1
0.4387,0.5846,1
0.8154,0.8348,1
0.8799,0.9757,1
0.9029,0.1702,1
0.9922,0.8888,1
0.7332,0.1694,1
0.2459,0.6626,1
0.8333,0.5132,1
0.5066,0.2775,1
0.1588,0.6073,1
0.8802,0.2923,1
0.9697,0.5557,1
0.5273,0.082,1
0.1623,0.9598,1
0.5214,0.5724,1
0.601,0.9627,1
0.0844,0.9338,1
0.9975,0.446,1
0.7589,0.7251,1
0.9566,0.568,1
0.0734,0.975,1
0.0403,0.6455,1
0.2392,0.6683,1
0.6207,0.2699,1
0.7809,0.3596,1
0.6351,0.8133,1
0.4605,0.5746,1
0.9984,0.7641,1
0.8413,0.1762,1
0.6404,0.3219,1
0.4407,0.9024,1
0.8438,0.7776,1

